Ace - Team 1,Double faults - Team 1,1st serves in - Team 1,1st serve points won - Team 1,2nd serve points won - Team 1,Fastest serve - Team 1,Average 1st serve speed - Team 1,Average 2nd serve speed - Team 1,Net points won - Team 1,Break points won - Team 1,Receiving points won - Team 1,Unforced errors - Team 1,Total points won - Team 1,Distance Covered (M) - Team 1,Dist. Covered/Pt. (M) - Team 1,Ace - Team 2,Double faults - Team 2,1st serves in - Team 2,1st serve points won - Team 2,2nd serve points won - Team 2,Fastest serve - Team 2,Average 1st serve speed - Team 2,Average 2nd serve speed - Team 2,Net points won - Team 2,Break points won - Team 2,Receiving points won - Team 2,Unforced errors - Team 2,Total points won - Team 2,Distance Covered (M) - Team 2,Dist. Covered/Pt. (M) - Team 2,Match Winner
10,3,66,89,57,198,185,154,100,71,46,27,0.59,1966.2,12.4,5,2,62,59,47,199,182,154,50,100,22,29,0.41,1904.1,12.1,0
6,3,64,92,45,206,189,162,67,57,56,20,0.65,1231.7,9.9,2,5,65,52,29,212,185,160,55,100,25,29,0.35,1266.8,10.2,0
2,4,56,57,47,187,173,151,63,33,27,30,0.4,1360.4,8.8,13,1,51,90,55,221,199,154,78,75,47,18,0.6,1465.7,9.5,1
13,3,65,76,58,217,191,142,68,44,32,42,0.51,2118.0,9.9,5,3,53,76,59,206,185,149,80,50,30,33,0.49,2059.3,9.6,0
8,4,68,68,35,202,184,152,63,0,25,31,0.43,1731.6,10.0,5,3,60,83,65,200,177,135,71,50,43,21,0.57,1554.9,9.0,1
16,0,71,74,85,222,200,174,65,50,49,23,0.61,1609.5,9.8,3,2,64,47,59,204,185,150,39,100,23,33,0.39,1576.2,9.6,0
10,6,56,67,44,203,181,155,62,50,37,47,0.47,2068.0,8.7,3,5,64,73,44,199,172,144,54,47,43,28,0.53,1890.9,7.9,1
19,6,62,72,43,208,193,161,64,0,25,55,0.44,2446.8,9.9,2,4,68,82,59,185,158,132,67,33,39,18,0.56,2357.9,9.6,1
19,1,50,84,66,212,196,152,70,45,38,28,0.55,1880.8,7.4,12,4,58,73,47,219,197,150,74,20,25,46,0.45,2029.8,8.0,0
7,2,59,80,36,198,190,143,74,40,33,27,0.47,2507.9,12.3,12,1,67,77,47,213,190,152,85,44,38,32,0.53,2604.7,12.8,1
15,5,64,68,55,207,184,150,67,0,25,43,0.45,1691.5,5.9,38,5,54,88,61,215,197,155,75,18,37,41,0.55,1687.6,5.9,1
5,3,63,68,65,209,181,153,50,27,34,22,0.51,2099.6,8.1,18,7,55,80,48,204,188,149,77,23,33,72,0.49,2077.9,8.0,0
7,4,74,78,58,204,173,153,69,44,39,44,0.55,2289.3,8.9,8,5,65,67,50,214,192,165,81,50,27,58,0.45,2185.2,8.5,0
3,1,60,56,61,192,159,127,79,22,32,38,0.45,2116.2,11.3,13,5,58,80,50,205,186,156,80,60,42,48,0.55,2142.5,11.5,1
