Ace,Double faults,1st serves in,1st serve points won,2nd serve points won,Fastest serve,Average 1st serve speed,Average 2nd serve speed,Net points won,Break points won,Receiving points won,Unforced errors,Total points won,Distance Covered (M),Dist. Covered/Pt. (M),Won
7,6,64,69,50,125,113,90,70,38,39,38,180.0,3319.5,9.2,0
15,6,52,72,44,140,124,101,56,25,33,42,91.0,2300.9,11.6,0
5,7,63,63,32,135,127,107,54,0,28,43,68.0,2190.1,13.1,0
2,2,63,62,61,132,121,93,64,0,20,23,66.0,1210.5,8.2,0
8,4,58,67,51,125,109,86,55,67,36,27,113.0,1567.8,6.6,0
16,0,69,79,47,128,114,93,74,40,34,43,137.0,2677.1,10.3,1
12,2,64,89,68,146,122,115,73,67,40,20,84.0,1000.9,7.2,1
10,4,64,74,53,140,122,98,63,0,13,18,74.0,860.1,4.9,0
12,10,53,74,47,122,112,94,67,29,32,57,146.0,3270.8,10.5,0
12,2,70,84,58,129,117,101,79,33,37,25,133.0,1937.2,7.9,1
7,3,65,82,62,118,111,92,33,63,44,26,91.0,1785.5,11.5,1
7,1,66,61,50,123,108,86,65,44,39,48,114.0,2939.8,12.4,1
12,3,70,83,72,126,116,97,100,38,49,27,90.0,1459.3,10.1,1
34,8,61,89,51,129,116,98,70,9,34,51,187.0,2508.2,7.0,1
12,1,67,72,56,121,110,95,92,9,28,34,169.0,2616.2,7.3,0
20,10,61,72,45,139,122,91,93,33,38,91,182.0,3026.3,8.4,1
10,3,59,76,55,120,106,89,63,36,42,23,108.0,2395.6,12.0,1
3,2,58,82,59,132,116,93,86,46,48,20,99.0,2308.7,13.8,1
14,0,62,89,65,132,116,99,67,11,39,21,82.0,1235.3,8.3,1
27,5,66,75,44,146,126,108,52,71,40,51,124.0,1928.9,8.1,1
23,1,66,74,50,126,115,92,63,7,31,35,123.0,2848.1,10.9,0
8,4,49,71,50,130,115,100,50,0,19,11,55.0,947.8,6.8,0
37,0,78,91,72,140,129,111,58,50,34,15,103.0,990.4,5.6,1
22,5,64,77,53,131,117,88,70,23,39,43,166.0,3260.6,10.4,1
14,11,61,78,40,137,120,105,59,0,24,55,111.0,1852.8,7.6,0
5,2,54,70,41,126,116,92,71,25,25,52,64.0,1509.1,9.7,0
10,3,51,68,53,117,105,83,59,45,43,52,123.0,2669.6,11.3,0
4,3,62,51,50,122,112,86,40,0,20,30,55.0,1450.9,10.0,0
20,11,58,71,60,129,112,94,70,20,26,65,171.0,2209.9,6.2,0
28,4,59,83,55,131,120,96,69,38,33,74,190.0,2604.2,7.2,1
