Ace,Double faults,1st serves in,1st serve points won,2nd serve points won,Fastest serve,Average 1st serve speed,Average 2nd serve speed,Net points won,Break points won,Receiving points won,Unforced errors,Total points won,Distance Covered (M),Dist. Covered/Pt. (M),Won
8,0,75,92,62,125,113,92,71,70,58,7,0.71,3425.2,31.4,1
9,3,53,61,60,130,114,89,60,100,27,28,0.44,8760.4,43.4,0
3,4,68,71,71,123,109,86,66,22,30,36,0.51,8520.1,27.0,0
13,2,58,85,67,130,119,92,86,29,30,27,0.53,5239.7,27.6,1
5,3,59,71,40,126,117,94,50,100,44,27,0.52,5318.2,35.5,1
7,5,61,63,44,129,115,94,63,20,33,28,0.43,7851.5,32.4,0
2,7,66,62,26,117,103,83,48,30,35,40,0.43,11169.7,47.9,0
17,6,49,83,65,147,126,104,70,50,41,43,0.57,5156.7,26.0,1
9,12,42,80,42,124,108,86,81,58,43,48,0.5,7057.9,26.1,1
2,7,56,65,37,137,111,91,68,50,22,28,0.39,2984.7,18.9,0
22,7,58,80,59,133,114,88,71,62,41,42,0.56,6843.7,27.4,1
1,7,57,53,47,129,119,104,40,0,24,31,0.38,3001.3,22.1,0
11,3,61,64,43,135,122,100,43,21,36,39,0.45,8601.9,36.7,0
24,3,61,98,56,141,127,109,58,36,44,20,0.6,3945.0,24.7,1
10,9,55,75,49,133,116,93,54,42,39,45,0.52,7648.3,34.2,1
13,1,54,87,58,137,121,97,72,83,46,24,0.59,5029.7,29.6,1
2,4,68,60,30,123,113,94,54,33,28,39,0.39,3361.5,23.7,0
3,11,55,66,42,127,106,85,73,64,40,70,0.49,11999.3,38.6,1
18,8,59,84,53,133,121,96,74,0,31,33,0.49,5771.2,24.9,0
13,3,57,71,44,131,112,94,59,60,33,49,0.46,6850.5,30.4,0
16,3,59,73,54,126,112,89,64,43,41,46,0.53,9454.2,34.5,1
19,4,53,76,57,132,119,90,71,63,43,29,0.56,5098.6,30.0,1
6,2,66,83,77,125,113,93,61,50,48,19,0.64,5094.4,38.3,1
12,4,55,74,45,131,109,90,54,33,40,48,0.5,7418.5,27.5,0
3,3,60,58,45,117,100,84,62,38,32,40,0.44,8572.0,39.1,0
18,7,61,81,67,140,120,106,92,43,32,44,0.54,5951.9,23.4,1
5,1,59,86,58,138,121,92,82,40,42,22,0.56,6148.1,36.2,1
4,5,61,77,39,124,113,92,65,30,30,48,0.46,7811.7,37.2,0
2,4,51,74,56,124,110,83,64,43,40,37,0.51,11074.8,35.0,1
4,3,61,81,58,124,110,86,79,40,41,26,0.56,5558.5,31.6,1
7,6,61,70,54,138,119,104,52,14,23,38,0.45,5410.8,27.6,0
3,2,54,55,27,130,120,94,56,0,15,27,0.29,3322.6,30.5,0
6,4,72,88,36,124,109,88,94,71,39,31,0.56,8518.2,42.2,1
21,5,64,77,58,133,118,95,57,25,29,67,0.49,8871.7,28.1,1
6,3,73,76,54,127,114,87,60,100,23,28,0.47,5401.4,28.4,0
3,2,56,61,50,128,108,91,87,33,42,30,0.48,6006.6,40.1,0
12,6,58,83,45,131,108,87,75,64,45,52,0.57,7385.7,30.5,1
4,2,60,65,65,117,108,90,58,45,50,35,0.57,10899.9,46.8,1
6,3,66,64,49,124,105,91,71,0,26,23,0.43,5327.0,26.9,0
16,13,54,64,48,132,116,99,54,43,42,53,0.5,7868.1,29.1,0
7,0,71,78,76,136,113,91,74,67,48,14,0.61,3150.1,19.9,1
1,8,63,63,54,116,102,90,60,43,29,45,0.44,6954.1,27.8,0
11,5,65,84,61,125,115,93,63,67,50,13,0.62,3300.5,24.3,1
18,2,58,71,54,129,114,83,74,47,44,23,0.55,9441.1,40.4,1
0,5,40,58,55,127,111,88,77,0,19,14,0.4,3503.8,21.9,0
3,1,63,59,63,119,107,88,65,43,37,35,0.48,7106.6,31.7,0
3,8,43,65,46,126,112,91,70,14,27,29,0.41,5095.6,30.0,0
2,5,59,71,72,137,116,102,73,60,49,22,0.61,3273.0,23.1,1
11,10,55,69,48,127,108,84,58,30,45,45,0.51,14016.4,45.1,0
13,6,62,70,69,127,115,96,59,67,29,16,0.51,6284.7,27.1,1
7,4,65,77,49,121,106,87,82,46,41,22,0.54,6640.3,29.5,1
6,4,61,71,40,111,97,78,63,42,35,43,0.47,11199.0,40.9,0
2,1,64,71,32,121,109,86,47,20,33,27,0.44,5162.0,30.4,0
3,6,46,59,46,137,126,95,60,0,19,33,0.36,5818.2,43.7,0
22,6,57,71,44,135,125,99,53,71,39,47,0.5,8075.1,29.9,1
8,3,68,75,52,126,113,92,79,50,47,40,0.56,9434.7,43.1,1
16,5,67,74,55,134,110,90,60,0,24,23,0.46,6232.8,24.5,0
5,0,59,64,49,124,115,88,60,0,25,17,0.44,6085.2,35.8,0
1,2,65,85,43,116,109,90,63,63,38,24,0.54,8485.7,40.4,1
19,9,62,75,36,136,116,91,71,50,35,67,0.49,11846.2,37.5,0
3,8,66,62,55,126,112,94,54,20,28,40,0.44,5677.6,32.3,0
5,2,54,80,74,125,112,90,55,25,36,11,0.55,4925.2,25.1,1
